pmid,title,authors,pubdate,journal,pagerank_score,degree,betweenness_score,abstract
3238258,Test-retest reliability of the MSLT.,Zwyghuizen-Doorenbos A; Roehrs T; Schaefer M; Roth T,1988 Dec,Sleep,0.005565776730953028,74,0.0,"1. Sleep. 1988 Dec;11(6):562-5. doi: 10.1093/sleep/11.6.562.

Test-retest reliability of the MSLT.

Zwyghuizen-Doorenbos A(1), Roehrs T, Schaefer M, Roth T.

Author information:
(1)Sleep Disorders and Research Center, Henry Ford Hospital, Detroit, Michigan 
48202.

The test-retest reliability of the Multiple Sleep Latency Test (MSLT) was 
evaluated in 14 healthy normal subjects. Each slept a single night in the 
laboratory (8 h time in bed) and received the MSLT the following day (1000, 
1200, 1400, and 1600 h) on two occasions separated by 4-14 months. Mean sleep 
latency (four tests) was highly reliable from MSLT to MSLT (r = 0.97, p less 
than 0.001). The test-retest reliability did not change as a function of the 
interval of time between tests or as a function of the level of sleepiness 
(range = 4-20 min) within the population. However, as the number of tests 
comprising the MSLT was reduced below three, the reliability was reduced such 
that only 50% or less of the variance could be predicted.

DOI: 10.1093/sleep/11.6.562
PMID: 3238258 [Indexed for MEDLINE]"
24401051,Upper-airway stimulation for obstructive sleep apnea.,Strollo PJ Jr; Soose RJ; Maurer JT; de Vries N; Cornelius J; Froymovich O; Hanson RD; Padhya TA; Steward DL; Gillespie MB; Woodson BT; Van de Heyning PH; Goetting MG; Vanderveken OM; Feldman N; Knaack L; Strohl KP; STAR Trial Group,2014 Jan 9,The New England journal of medicine,0.0054741607953386956,804,0.0004068518641141077,"1. N Engl J Med. 2014 Jan 9;370(2):139-49. doi: 10.1056/NEJMoa1308659.

Upper-airway stimulation for obstructive sleep apnea.

Strollo PJ Jr(1), Soose RJ, Maurer JT, de Vries N, Cornelius J, Froymovich O, 
Hanson RD, Padhya TA, Steward DL, Gillespie MB, Woodson BT, Van de Heyning PH, 
Goetting MG, Vanderveken OM, Feldman N, Knaack L, Strohl KP; STAR Trial Group.

Collaborators: Mickelson S, Mobini F, Goetting M, Szeles L, Timpe R, Moshier C, 
Schneider C, McNett C, Philip P, Monteyrol PJ, Valtat C, Strohl K, Schilz R, 
Baskin J, Haney D, Andrews M, Heald J, Roberson J, Sesso D, Cordon J, Chabolle 
F, Blumen M, Guileré L, Knaack L, Janicki J, Möckel C, Tholen C, Schäfer S, 
Woodson B, Markowski L, Vacula S, Erbe C, Gillespie M, Nguyen S, Fuller C, Lohia 
S, Reddy R, Cornelius J, Froymovich O, Stein C, Feldman N, Padhya T, O'Brien M, 
de Vries N, Safiruddin F, Benoist L, De Bleser T, Jamieson A, Williams N, 
Hassell C, Hanson RD, Payne T, Jacobs E, Gerads K, Stolz S, Yang C, Gillis J, 
Butler K, Steward D, Surdulescu V, Keller J, Maurer JT, Anders C, Schmidt O, 
Soose R, Strollo P, Atwood C, McCormick J, Padhya T, Anderson M, Joughlin L, Van 
de Heyning PH, Vanderveken OM, De Backer WA, Verbraecken J, D'Hondt W, Dieltjens 
M, Randerath W, Priegnitz C, Hohenhorst W, Treml M, Badr M, Lin HS, D'Souza A, 
Yurik T, Wilson K, Gapany M, Skovlund SM, St Louis E.

Author information:
(1)The authors' affiliations are listed in the Appendix.

Comment in
    N Engl J Med. 2014 Jan 9;370(2):170-1. doi: 10.1056/NEJMe1314084.
    Dtsch Med Wochenschr. 2014 Feb;139(7):314. doi: 10.1055/s-0033-1353889.
    Am J Respir Crit Care Med. 2015 Apr 1;191(7):845-7. doi: 
10.1164/rccm.201412-2287RR.

BACKGROUND: Obstructive sleep apnea is associated with considerable health 
risks. Although continuous positive airway pressure (CPAP) can mitigate these 
risks, effectiveness can be reduced by inadequate adherence to treatment. We 
evaluated the clinical safety and effectiveness of upper-airway stimulation at 
12 months for the treatment of moderate-to-severe obstructive sleep apnea.
METHODS: Using a multicenter, prospective, single-group, cohort design, we 
surgically implanted an upper-airway stimulation device in patients with 
obstructive sleep apnea who had difficulty either accepting or adhering to CPAP 
therapy. The primary outcome measures were the apnea-hypopnea index (AHI; the 
number of apnea or hypopnea events per hour, with a score of ≥15 indicating 
moderate-to-severe apnea) and the oxygen desaturation index (ODI; the number of 
times per hour of sleep that the blood oxygen level drops by ≥4 percentage 
points from baseline). Secondary outcome measures were the Epworth Sleepiness 
Scale, the Functional Outcomes of Sleep Questionnaire (FOSQ), and the percentage 
of sleep time with the oxygen saturation less than 90%. Consecutive participants 
with a response were included in a randomized, controlled therapy-withdrawal 
trial.
RESULTS: The study included 126 participants; 83% were men. The mean age was 
54.5 years, and the mean body-mass index (the weight in kilograms divided by the 
square of the height in meters) was 28.4. The median AHI score at 12 months 
decreased 68%, from 29.3 events per hour to 9.0 events per hour (P<0.001); the 
ODI score decreased 70%, from 25.4 events per hour to 7.4 events per hour 
(P<0.001). Secondary outcome measures showed a reduction in the effects of sleep 
apnea and improved quality of life. In the randomized phase, the mean AHI score 
did not differ significantly from the 12-month score in the nonrandomized phase 
among the 23 participants in the therapy-maintenance group (8.9 and 7.2 events 
per hour, respectively); the AHI score was significantly higher (indicating more 
severe apnea) among the 23 participants in the therapy-withdrawal group (25.8 
vs. 7.6 events per hour, P<0.001). The ODI results followed a similar pattern. 
The rate of procedure-related serious adverse events was less than 2%.
CONCLUSIONS: In this uncontrolled cohort study, upper-airway stimulation led to 
significant improvements in objective and subjective measurements of the 
severity of obstructive sleep apnea. (Funded by Inspire Medical Systems; STAR 
ClinicalTrials.gov number, NCT01161420.).

DOI: 10.1056/NEJMoa1308659
PMID: 24401051 [Indexed for MEDLINE]"
3383654,Determinants of daytime sleepiness in obstructive sleep apnea.,Guilleminault C; Partinen M; Quera-Salva MA; Hayes B; Dement WC; Nino-Murcia G,1988 Jul,Chest,0.0049035722298633195,17,0.0,"1. Chest. 1988 Jul;94(1):32-7. doi: 10.1378/chest.94.1.32.

Determinants of daytime sleepiness in obstructive sleep apnea.

Guilleminault C(1), Partinen M, Quera-Salva MA, Hayes B, Dement WC, Nino-Murcia 
G.

Author information:
(1)Sleep Disorders Center, Stanford University School of Medicine, CA.

To investigate determinants of daytime sleepiness in obstructive sleep apnea 
syndrome (OSAS), we studied 100 unselected OSAS patients by nocturnal 
polygraphic recording and the Multiple Sleep Latency Test (MSLT). Data obtained 
were submitted to three types of analysis. Respiratory disturbance index, oxygen 
saturation indices, body mass index, and total nocturnal sleep time did not 
significantly correlate with daytime sleepiness, as measured by the MSLT. 
Analysis of subgroups based on weight and degree of alertness also showed a 
nonsignificant correlation with daytime sleepiness. The best predictor of the 
excessive daytime sleepiness (EDS) frequently found in OSAS patients was the 
nocturnal polygraphic recording of the sleep disturbances and sleep structure 
anomalies that reflect the brain's overall dysfunction in OSAS. Understanding 
why an electroencephalogram arousal response occurs during sleep in association 
with abnormal breathing and how this response can become blunted may help us to 
better predict the development of EDS.

DOI: 10.1378/chest.94.1.32
PMID: 3383654 [Indexed for MEDLINE]"
2721252,Predictors of objective level of daytime sleepiness in patients with sleep-related breathing disorders.,Roehrs T; Zorick F; Wittig R; Conway W; Roth T,1989 Jun,Chest,0.004814331679655086,10,0.0,"1. Chest. 1989 Jun;95(6):1202-6. doi: 10.1378/chest.95.6.1202.

Predictors of objective level of daytime sleepiness in patients with 
sleep-related breathing disorders.

Roehrs T(1), Zorick F, Wittig R, Conway W, Roth T.

Author information:
(1)Department of Pulmonary Medicine, Henry Ford Hospital, Detroit 48202.

Excessive daytime sleepiness, the most prevalent symptom associated with the 
OSAS, is hypothesized to result from either fragmentation of sleep or hypoxemia 
during sleep. Measures of nocturnal sleep, respiration during sleep, and daytime 
sleepiness in 466 patients with apnea were collected to evaluate these two 
hypotheses. The various parameters were submitted to correlation and multiple 
regression analyses to predict daytime sleepiness as measured by the MSLT. The 
RAI, which measures the number of arousals from sleep associated with 
respiratory disturbances (best fragmentation correlation), produced a higher 
correlation with MSLT scores than did TMES (best hypoxemia correlation); 
however, the measures were highly intercorrelated, and multiple regression 
analyses to determine which parameters independently predicted MSLT showed the 
single best predictor to be the RAI. Additional independent variance in MSLT 
score was explained by TST and PSG1. Measures of hypoxemia provided little or no 
independent predictive information. These data support the hypothesis that sleep 
fragmentation is an important determinant of daytime sleepiness in patients with 
apnea.

DOI: 10.1378/chest.95.6.1202
PMID: 2721252 [Indexed for MEDLINE]"
3363270,Daytime alertness in patients with chronic insomnia compared with asymptomatic control subjects.,Stepanski E; Zorick F; Roehrs T; Young D; Roth T,1988 Feb,Sleep,0.004812912055007468,12,0.0,"1. Sleep. 1988 Feb;11(1):54-60. doi: 10.1093/sleep/11.1.54.

Daytime alertness in patients with chronic insomnia compared with asymptomatic 
control subjects.

Stepanski E(1), Zorick F, Roehrs T, Young D, Roth T.

Author information:
(1)Sleep Disorders and Research Center, Henry Ford Hospital, Detroit, Michigan.

Despite the subjective reports of patients with difficulty initiating and 
maintaining sleep (DIMS) that they are impaired during the day, consistent 
differences in daytime functions have not been found between normal sleepers and 
patients with insomnia. The present study compares polysomnography and Multiple 
Sleep Latency Test (MSLT) data from 70 clinic patients seeking evaluation for 
chronic insomnia with data from a group of 45 asymptomatic sleepers. The DIMS 
group was found to sleep significantly less than the control group; yet they 
were also significantly more alert than the control group the following day, as 
measured by MSLT. Within the insomnia diagnostic subgroups, a correlation of 
-0.67 (p less than 0.05) was found between nocturnal total sleep time and mean 
MSLT. The results are interpreted as supporting the existence of a tendency 
towards physiological hyperarousal in patients with chronic insomnia. This 
tendency may be exacerbated by other factors (e.g., personality disorder, 
periodic leg movements) also associated with insomnia.

DOI: 10.1093/sleep/11.1.54
PMID: 3363270 [Indexed for MEDLINE]"
2740695,Relationship of autonomic nervous system activity to daytime sleepiness and prior sleep.,Pressman MR; Fry JM,1989 Jun,Sleep,0.00477098738665517,7,0.0,"1. Sleep. 1989 Jun;12(3):239-45. doi: 10.1093/sleep/12.3.239.

Relationship of autonomic nervous system activity to daytime sleepiness and 
prior sleep.

Pressman MR(1), Fry JM.

Author information:
(1)Department of Neurology, Medical College of Pennsylvania, Philadelphia 19129.

Autonomic nervous system (ANS) measures have been used frequently as measures of 
activation or arousal. However, their relationship to standard measures of 
alertness--the Multiple Sleep Latency Test (MSLT) and Stanford Sleepiness Scale 
(SSS)--and to the quantity and quality of prior sleep has not been determined. 
In this study, the direct pupil light reflex (PLR) was measured with the MSLT 
and SSS to determine how ANS activity varies with daytime sleepiness and how all 
three measures were related to prior nocturnal sleep in a group of patients with 
obstructive sleep apnea. When the effects of age and time of day were partialed 
out, PLR data suggest that increased sleepiness as measured by MSLT is 
significantly correlated with increased parasympathetic activity (r = -0.60, p 
less than 0.01) and not with decreased sympathetic activity (r = -0.24, not 
significant). These partial correlations were significantly different (p less 
than 0.05). Increased sleepiness as measured by the SSS was significantly 
correlated with decreased sympathetic activity (r = -0.46, p less than 0.05) and 
not with increased parasympathetic activity (r = -0.00, not significant). These 
partial correlations were significantly different (p less than 0.02). In the 
group of sleep apnea patients, the PLR suggests that increased number of apneas 
and hypopneas (sleep fragmentation) was significantly correlated with both 
decreased sympathetic activity and increased parasympathetic activity. These 
findings suggest that ANS activity is related to daytime sleepiness and to the 
quality of prior sleep.

DOI: 10.1093/sleep/12.3.239
PMID: 2740695 [Indexed for MEDLINE]"
7156656,The multiple sleep latency test: what does it measure?,Carskadon MA; Dement WC,1982,Sleep,0.004747141455150358,21,0.0,"1. Sleep. 1982;5 Suppl 2:S67-72. doi: 10.1093/sleep/5.s2.s67.

The multiple sleep latency test: what does it measure?

Carskadon MA, Dement WC.

DOI: 10.1093/sleep/5.s2.s67
PMID: 7156656 [Indexed for MEDLINE]"
2799218,Sleep extension in sleepy and alert normals.,Roehrs T; Timms V; Zwyghuizen-Doorenbos A; Roth T,1989 Oct,Sleep,0.004707955738612195,15,0.0,"1. Sleep. 1989 Oct;12(5):449-57. doi: 10.1093/sleep/12.5.449.

Sleep extension in sleepy and alert normals.

Roehrs T(1), Timms V, Zwyghuizen-Doorenbos A, Roth T.

Author information:
(1)Sleep Disorders and Research Center, Henry Ford Hospital, Detroit, MI 48202.

Twenty-four healthy, young (21-35 years old) men with no complaints of daytime 
sleepiness, no habitual napping, and polysomnographically verified normal 
nocturnal sleep extended their time in bed (TIB) to 10 h for 6 consecutive 
nights to assess the effects of sleep extension on daytime sleepiness and 
performance. Twelve subjects had basal average daily sleep latencies of less 
than or equal to 6 min on the Multiple Sleep Latency Test and 12 had latencies 
of greater than or equal to 16 min before TIB was extended. The sleep extension 
improved daytime sleepiness differentially in the two groups. The degree of 
improvement was greater in the sleepy subjects than the alert subjects and the 
pattern of improvement differed between the groups. Sleepy subjects showed an 
immediate and uniform increase in alertness, while alert subjects did not show 
improvements until late in the extension. However, sleepy subjects never 
achieved the baseline level of sleepiness/alertness seen in the alert subjects.

DOI: 10.1093/sleep/12.5.449
PMID: 2799218 [Indexed for MEDLINE]"
3659728,Excessive daytime somnolence in young men: prevalence and contributing factors.,Billiard M; Alperovitch A; Perot C; Jammes A,1987 Aug,Sleep,0.004579086979982958,4,0.0,"1. Sleep. 1987 Aug;10(4):297-305. doi: 10.1093/sleep/10.4.297.

Excessive daytime somnolence in young men: prevalence and contributing factors.

Billiard M(1), Alperovitch A, Perot C, Jammes A.

Author information:
(1)Unité des Troubles du Sommeil, Montpellier, France.

To investigate the prevalence of excessive daytime somnolence and contributing 
factors, 58,162 draftees between 17 and 22 years of age, registered in two 
selection centers of the French army, were screened by means of a 17-item 
questionnaire. In response, 8,201 subjects (14.1%) reported occasional daytime 
sleep episodes, 2,210 (3.8%) one or two daily episodes, and 640 (1.1%) more than 
two daily episodes. Of the total sample, five percent or 2,933 considered these 
sleep episodes to affect their lives. Different possible factors of daytime 
sleep episodes were investigated, including hours of nocturnal sleep, sleep-wake 
schedule, sleep difficulties, use of hypnotics, snoring, and occurrence of 
cataplexy. A strong association was found between these factors and excessive 
daytime somnolence. A stepwise multivariate analysis was performed on five of 
these factors: hours of nocturnal sleep, sleep-wake schedule, sleep 
difficulties, use of hypnotics, and snoring. All five factors were shown to be 
independently related to excessive daytime somnolence and were ranked in the 
following descending order: use of hypnotics, sleep difficulties, irregular 
sleep-wake schedule, snoring, and hours of sleep.

DOI: 10.1093/sleep/10.4.297
PMID: 3659728 [Indexed for MEDLINE]"
3238257,A comparison of multiple and single sleep latency and cerebral evoked potential (P300) measures in the assessment of excessive daytime sleepiness in narcolepsy-cataplexy.,Broughton R; Aguirre M; Dunham W,1988 Dec,Sleep,0.004542663856468186,7,0.0,"1. Sleep. 1988 Dec;11(6):537-45. doi: 10.1093/sleep/11.6.537.

A comparison of multiple and single sleep latency and cerebral evoked potential 
(P300) measures in the assessment of excessive daytime sleepiness in 
narcolepsy-cataplexy.

Broughton R(1), Aguirre M, Dunham W.

Author information:
(1)University of Ottawa, Canada.

A direct comparison was made between the amplitude of evoked potential (EP) 
component P3 (by the P300 paradigm), a known sensitive EP correlate of 
sleepiness, and sleep latency measures (both to stage 1 or rapid eye movement 
[REM] and to stage 2 or REM) of the Multiple Sleep Latency Test (MSLT) in 11 
untreated narcoleptics and matched controls. Repeated P3 measures were performed 
immediately prior to standard MSLT naps at 10:00 a.m., 12:00 noon, 2:00 p.m., 
4:00 p.m., and 6:00 p.m. Using discriminant analysis and F tests, all three 
measures (P3 and both by MSLT) were found to distinguish the two groups for 
collapsed five-nap data, and all showed essentially parallel circadian 
time-of-day effects, with greatest sleepiness in the midafternoon. The MSLT, 
however, was somewhat more powerful for collapsed data. Both tests misclassified 
some subjects as belonging to the other group, with greater misclassification 
for both tests in the control group and more overall for the P3 measure. Adding 
the two sleep onset REM period (SOREMP) criteria on MSLT for narcolepsy, one 
patient was still classified as normal. Analysis of data from individual naps 
indicated that the MSLT was considerably more powerful in discriminating groups 
than was P3 amplitude, and it did so for all five naps.

DOI: 10.1093/sleep/11.6.537
PMID: 3238257 [Indexed for MEDLINE]"
